53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;43 32 11;111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;
205 204 0;205 204 0;205 204 0;155 94 44;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;43 32 11;153 209 240;153 209 240;155 94 44;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;93 96 11;155 94 44;155 94 44;80 51 23;155 94 44;153 209 240;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;155 94 44;155 94 44;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;80 51 23;153 209 240;
205 204 0;205 204 0;205 204 0;155 94 44;155 94 44;205 204 0;205 204 0;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;43 32 11;153 209 240;153 209 240;155 94 44;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;153 209 240;153 209 240;93 96 11;93 96 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;80 51 23;218 232 226;218 232 226;218 232 226;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;80 51 23;153 209 240;
205 204 0;205 204 0;205 204 0;155 94 44;155 94 44;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;43 32 11;153 209 240;153 209 240;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;155 94 44;80 51 23;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;153 209 240;153 209 240;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;80 51 23;153 209 240;
205 204 0;205 204 0;205 204 0;155 94 44;80 51 23;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;153 209 240;153 209 240;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;155 94 44;93 96 11;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;218 232 226;218 232 226;218 232 226;43 32 11;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;153 209 240;153 209 240;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;153 209 240;80 51 23;80 51 23;153 209 240;
205 204 0;205 204 0;205 204 0;155 94 44;80 51 23;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;155 94 44;155 94 44;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;157 157 6;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;93 96 11;157 157 6;218 232 226;218 232 226;155 94 44;93 96 11;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;153 209 240;153 209 240;43 32 11;43 32 11;153 209 240;153 209 240;153 209 240;43 32 11;153 209 240;153 209 240;153 209 240;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;80 51 23;80 51 23;80 51 23;153 209 240;
205 204 0;205 204 0;205 204 0;80 51 23;80 51 23;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;155 94 44;155 94 44;155 94 44;153 209 240;153 209 240;153 209 240;153 209 240;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;157 157 6;218 232 226;218 232 226;218 232 226;155 94 44;155 94 44;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;43 32 11;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;157 157 6;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;153 209 240;153 209 240;153 209 240;43 32 11;153 209 240;153 209 240;153 209 240;80 51 23;80 51 23;153 209 240;153 209 240;153 209 240;80 51 23;80 51 23;80 51 23;153 209 240;
205 204 0;205 204 0;205 204 0;93 96 11;93 96 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;157 157 6;218 232 226;218 232 226;218 232 226;93 96 11;93 96 11;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;43 32 11;43 32 11;154 181 173;218 232 226;218 232 226;43 32 11;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;218 232 226;154 181 173;154 181 173;154 181 173;153 209 240;154 181 173;154 181 173;218 232 226;153 209 240;153 209 240;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;157 157 6;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;43 32 11;218 232 226;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;
205 204 0;205 204 0;205 204 0;155 94 44;93 96 11;205 204 0;205 204 0;205 204 0;157 157 6;43 32 11;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;157 157 6;157 157 6;218 232 226;218 232 226;218 232 226;93 96 11;93 96 11;155 94 44;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;43 32 11;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;157 157 6;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;43 32 11;218 232 226;218 232 226;218 232 226;80 51 23;80 51 23;43 32 11;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;
205 204 0;205 204 0;205 204 0;93 96 11;93 96 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;157 157 6;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;157 157 6;157 157 6;154 181 173;154 181 173;154 181 173;155 94 44;155 94 44;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;43 32 11;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;200 176 2;200 176 2;200 176 2;157 157 6;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;
200 176 2;200 176 2;200 176 2;93 96 11;93 96 11;157 157 6;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;200 176 2;80 51 23;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;93 96 11;93 96 11;93 96 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;200 176 2;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;43 32 11;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;80 51 23;43 32 11;80 51 23;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;
200 176 2;200 176 2;200 176 2;93 96 11;93 96 11;155 94 44;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;200 176 2;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;154 181 173;154 181 173;154 181 173;154 181 173;155 94 44;93 96 11;93 96 11;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;43 32 11;154 181 173;154 181 173;43 32 11;154 181 173;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;218 232 226;154 181 173;218 232 226;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;200 176 2;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;154 181 173;200 176 2;157 157 6;200 176 2;200 176 2;200 176 2;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;
200 176 2;200 176 2;157 157 6;93 96 11;93 96 11;155 94 44;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;200 176 2;200 176 2;200 176 2;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;43 32 11;80 51 23;80 51 23;205 204 0;154 181 173;154 181 173;154 181 173;93 96 11;93 96 11;93 96 11;155 94 44;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;154 181 173;154 181 173;154 181 173;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;154 181 173;154 181 173;218 232 226;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;200 176 2;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;154 181 173;157 157 6;157 157 6;200 176 2;200 176 2;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;218 232 226;218 232 226;
157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;43 32 11;43 32 11;80 51 23;200 176 2;200 176 2;200 176 2;200 176 2;93 96 11;93 96 11;93 96 11;93 96 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;154 181 173;154 181 173;154 181 173;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;200 176 2;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;157 157 6;157 157 6;157 157 6;200 176 2;200 176 2;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;43 32 11;43 32 11;43 32 11;218 232 226;218 232 226;205 204 0;80 51 23;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;205 204 0;205 204 0;
197 112 50;155 94 44;155 94 44;155 94 44;155 94 44;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;43 32 11;43 32 11;43 32 11;43 32 11;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;200 176 2;93 96 11;93 96 11;93 96 11;93 96 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;43 32 11;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;218 232 226;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;200 176 2;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;157 157 6;157 157 6;157 157 6;157 157 6;200 176 2;200 176 2;200 176 2;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;43 32 11;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;80 51 23;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;205 204 0;205 204 0;
197 112 50;197 112 50;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;43 32 11;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;43 32 11;43 32 11;80 51 23;80 51 23;43 32 11;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;200 176 2;200 176 2;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;43 32 11;153 209 240;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;200 176 2;200 176 2;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;200 176 2;80 51 23;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;43 32 11;93 96 11;93 96 11;155 94 44;155 94 44;
197 112 50;197 112 50;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;155 94 44;197 112 50;197 112 50;197 112 50;197 112 50;43 32 11;43 32 11;43 32 11;43 32 11;197 112 50;197 112 50;197 112 50;197 112 50;157 157 6;157 157 6;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;218 232 226;218 232 226;218 232 226;154 181 173;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;205 204 0;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;200 176 2;155 94 44;155 94 44;155 94 44;43 32 11;43 32 11;43 32 11;155 94 44;155 94 44;155 94 44;155 94 44;80 51 23;80 51 23;93 96 11;93 96 11;93 96 11;80 51 23;43 32 11;93 96 11;93 96 11;155 94 44;155 94 44;
